row_names,AUC,PRAUC
20news_0_all_Class0_simulation3,0.7287766729183623,0.11336496961740362
20news_0_all_Class0_simulation4,0.7363273647333592,0.11641768912830776
20news_0_all_Class0_simulation5,0.7334853498000637,0.11490365977181177
20news_0_all_Average,0.7327010863795606,0.11470997938132496
20news_0_all_Std,0.0022407916518007763,0.000976288670967661
20news_1_all_Class0_simulation1,0.6047048974466305,0.06274655685412432
20news_1_all_Class0_simulation2,0.605950606948514,0.06284623420903887
20news_1_all_Class0_simulation3,0.6098735872750104,0.06361965860522267
20news_1_all_Class0_simulation4,0.6074943491000419,0.06324603471132864
20news_1_all_Class0_simulation5,0.6060041858518208,0.06298920341796527
20news_1_all_Average,0.6068055253244035,0.06308953755953596
20news_1_all_Std,0.0016162276132647255,0.0002864783023231423
20news_2_all_Class0_simulation1,0.6023476475945788,0.07133326977077954
